IMDB_rating,IMDB_title,IMDB_titleID,IMDB_title_name
5.0 based on 333 user ratings,Todd Glass: Act Happy,/title/tt7752142/, Todd Glass: Act Happy (2018) (TV Special) 
4.6 based on 143 user ratings,Harith Iskander: I Told You So,/title/tt7902184/, Harith Iskander: I Told You So (2018) (TV Special) 
"7.9 based on 2,696 user ratings",Neal Brennan: 3 Mics,/title/tt6438918/, Neal Brennan: 3 Mics (2017) (TV Special) 
6.1 based on 822 user ratings,Katt Williams: Great America,/title/tt7752054/, Katt Williams: Great America (2018) (TV Special) 
"7.1 based on 1,023 user ratings",Sebastian Maniscalco: Stay Hungry,/title/tt9482786/, Sebastian Maniscalco: Stay Hungry (2019) (TV Special) 
5.2 based on 655 user ratings,Leslie Jones: Time Machine,/title/tt10795784/, Leslie Jones: Time Machine (2020) (TV Special) 
"7.6 based on 2,912 user ratings",Tom Segura: Disgraceful,/title/tt7379330/, Tom Segura: Disgraceful (2018) (TV Special) 
"7.1 based on 2,048 user ratings",Jim Gaffigan: Cinco,/title/tt6090102/, Jim Gaffigan: Cinco (2017) (TV Special) 
6.6 based on 580 user ratings,Jeff Dunham: Unhinged in Hollywood,/title/tt5038776/, Jeff Dunham: Unhinged in Hollywood (2015) (TV Special) 
"6.9 based on 5,319 user ratings",The Original Kings of Comedy,/title/tt0236388/, The Original Kings of Comedy (2000) 
6.8 based on 294 user ratings,Moshe Kasher: Live in Oakland,/title/tt2229301/, Moshe Kasher: Live in Oakland (2012) 
6.3 based on 788 user ratings,Whitney Cummings: Money Shot,/title/tt1659261/, Whitney Cummings: Money Shot (2010) (TV Special) 
"7.2 based on 1,415 user ratings","Ray Romano: Right Here, Around the Corner",/title/tt8101766/," Ray Romano: Right Here, Around the Corner (2019) (TV Special) "
"6.6 based on 1,303 user ratings",Hannibal Buress: Comedy Camisado,/title/tt5352432/, Hannibal Buress: Comedy Camisado (2016) (TV Special) 
8.1 based on 824 user ratings,Dinner for Five,/title/tt0291604/, Dinner for Five (2001) (TV Series) 
"7.5 based on 2,126 user ratings",Mike Birbiglia: Thank God for Jokes,/title/tt6608034/, Mike Birbiglia: Thank God for Jokes (2017) (TV Special) 
"6.5 based on 1,233 user ratings",Marlon Wayans: Woke-ish,/title/tt7655590/, Marlon Wayans: Woke-ish (2018) (TV Special) 
4.7 based on 357 user ratings,Ralphie May: Unruly,/title/tt4454406/, Ralphie May: Unruly (2015) (Video) 
"7.3 based on 3,549 user ratings",Zach Galifianakis: Live at the Purple Onion,/title/tt0804558/, Zach Galifianakis: Live at the Purple Onion (2006) (Video) 
"7.7 based on 1,070 user ratings",Bert Kreischer: The Machine,/title/tt6545220/, Bert Kreischer: The Machine (2016) (TV Special) 
"7.2 based on 4,378 user ratings",Trevor Noah: Afraid of the Dark,/title/tt6562866/, Trevor Noah: Afraid of the Dark (2017) (TV Special) 
7.5 based on 990 user ratings,Kevin James: Sweat the Small Stuff,/title/tt0305727/, Kevin James: Sweat the Small Stuff (2001) (TV Special) 
"5.7 based on 2,010 user ratings","Ken Jeong: You Complete Me, Ho",/title/tt8466562/," Ken Jeong: First Date (2019) (TV Special) aka ""Ken Jeong: You Complete Me, Ho"" "
"6.6 based on 5,803 user ratings",Chris Rock: Tamborine,/title/tt8005338/, Chris Rock: Tamborine (2018) (TV Special) 
"6.9 based on 1,808 user ratings",Katherine Ryan: In Trouble,/title/tt6540084/, Katherine Ryan: In Trouble (2017) (TV Special) 
6.1 based on 453 user ratings,Reggie Watts: Spatial,/title/tt5861260/, Reggie Watts: Spatial (2016) (TV Special) 
6.6 based on 879 user ratings,Craig Ferguson: Tickle Fight,/title/tt7193448/, Craig Ferguson: Tickle Fight (2017) (TV Special) 
"8.4 based on 6,679 user ratings",Bill Burr: I'm Sorry You Feel That Way,/title/tt3823690/, Bill Burr: I'm Sorry You Feel That Way (2014) (TV Special) 
Not Found,Bill Hicks: One Night Stand,Not Found,Not Found
